Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11/25/85,7.8551,8.3626,8.7469,9.0408,9.2686,9.4481,9.5924,9.711,9.8108,9.8969,9.9727,10.0408,10.1029,10.1605,10.2143,10.2649,10.3128,10.3583,10.4016,10.4428,10.4821,10.5196,10.5553,10.5893,10.6217,10.6526,10.6819,10.7099,10.7365,10.7618
11/26/85,7.8527,8.3575,8.742,9.0376,9.2677,9.4494,9.5956,9.7154,9.8158,9.9015,9.9762,10.0425,10.1023,10.1569,10.2073,10.2542,10.2981,10.3393,10.3782,10.415,10.4497,10.4827,10.5139,10.5435,10.5715,10.5982,10.6234,10.6474,10.6701,10.6917
11/27/85,7.8425,8.3522,8.7339,9.0231,9.2453,9.4193,9.5586,9.6727,9.7688,9.8515,9.9246,9.9903,10.0503,10.106,10.1579,10.2069,10.2531,10.2969,10.3385,10.3781,10.4157,10.4514,10.4853,10.5176,10.5482,10.5773,10.6049,10.6311,10.656,10.6796
11/29/85,7.7914,8.3148,8.6991,8.9852,9.2024,9.3712,9.5061,9.6172,9.7115,9.7938,9.8673,9.9343,9.9963,10.0541,10.1086,10.16,10.2087,10.2549,10.2987,10.3403,10.3798,10.4172,10.4526,10.4861,10.5179,10.5479,10.5763,10.6032,10.6287,10.6528
12/2/85,7.8176,8.3457,8.7359,9.0294,9.255,9.4327,9.5766,9.6962,9.7983,9.8874,9.9667,10.0383,10.1038,10.1641,10.22,10.272,10.3206,10.366,10.4085,10.4483,10.4856,10.5206,10.5534,10.5842,10.6131,10.6402,10.6657,10.6897,10.7123,10.7335
12/3/85,7.8527,8.3679,8.754,9.0476,9.2746,9.4535,9.5974,9.7156,9.8148,9.8996,9.9733,10.0383,10.0964,10.1488,10.1965,10.2401,10.2802,10.3172,10.3515,10.3832,10.4127,10.4402,10.4658,10.4897,10.5121,10.533,10.5526,10.571,10.5882,10.6044
12/4/85,7.8493,8.3495,8.7236,9.0078,9.2281,9.4025,9.5437,9.6609,9.7602,9.846,9.9215,9.9888,10.0495,10.1048,10.1554,10.202,10.2451,10.285,10.3221,10.3567,10.3888,10.4188,10.4469,10.473,10.4975,10.5205,10.542,10.5622,10.5812,10.599
12/5/85,7.852,8.3516,8.7219,9.0014,9.2172,9.3881,9.527,9.643,9.7422,9.8288,9.9059,9.9755,10.0389,10.0971,10.1509,10.2009,10.2473,10.2906,10.3309,10.3686,10.4039,10.4368,10.4677,10.4965,10.5236,10.5489,10.5727,10.5951,10.6161,10.6358
12/6/85,7.8639,8.3573,8.7269,9.0085,9.2275,9.4015,9.543,9.6606,9.7607,9.8473,9.9235,9.9915,10.0529,10.1087,10.1597,10.2066,10.2499,10.29,10.3272,10.3617,10.3938,10.4237,10.4516,10.4776,10.502,10.5247,10.546,10.566,10.5848,10.6024
12/9/85,7.8479,8.271,8.5999,8.8601,9.0701,9.2427,9.3872,9.5104,9.6169,9.7102,9.793,9.867,9.9337,9.9942,10.0493,10.0998,10.1461,10.1887,10.2279,10.2643,10.2979,10.329,10.358,10.3849,10.41,10.4334,10.4553,10.4758,10.495,10.513
12/10/85,7.7619,8.1632,8.4769,8.7276,8.9325,9.1037,9.2495,9.3759,9.4872,9.5863,9.6755,9.7563,9.8299,9.8972,9.9591,10.016,10.0685,10.117,10.1619,10.2035,10.2421,10.2779,10.3113,10.3423,10.3713,10.3983,10.4236,10.4472,10.4694,10.4902
12/11/85,7.6687,8.0055,8.2938,8.5409,8.7532,8.9361,9.0942,9.2312,9.3504,9.4544,9.5456,9.6258,9.6966,9.7594,9.8153,9.8653,9.9102,9.9506,9.9871,10.0202,10.0504,10.078,10.1032,10.1264,10.1479,10.1677,10.186,10.2031,10.219,10.2339
12/12/85,7.6252,8.0126,8.3331,8.5996,8.8225,9.0101,9.1689,9.3041,9.4199,9.5197,9.6062,9.6816,9.7476,9.8058,9.8573,9.9032,9.9442,9.981,10.0143,10.0444,10.0717,10.0967,10.1196,10.1406,10.16,10.178,10.1946,10.21,10.2244,10.2378
12/13/85,7.5765,7.9748,8.2932,8.5522,8.7663,8.946,9.0991,9.2311,9.3463,9.4478,9.538,9.6186,9.6912,9.7568,9.8163,9.8706,9.9201,9.9655,10.0072,10.0456,10.081,10.1137,10.144,10.1721,10.1983,10.2226,10.2453,10.2665,10.2863,10.3049
12/16/85,7.5702,7.967,8.2815,8.5352,8.7434,8.9172,9.0647,9.1916,9.3021,9.3995,9.4861,9.5636,9.6334,9.6966,9.7541,9.8066,9.8546,9.8987,9.9393,9.9767,10.0113,10.0432,10.0729,10.1004,10.126,10.1498,10.1721,10.1929,10.2124,10.2307
12/17/85,7.5438,7.9035,8.1919,8.4276,8.6238,8.79,8.933,9.0577,9.1677,9.2656,9.3535,9.4328,9.5048,9.5704,9.6303,9.6853,9.7358,9.7823,9.8251,9.8647,9.9013,9.9353,9.9668,9.9961,10.0234,10.0488,10.0726,10.0948,10.1156,10.1351
12/18/85,7.576,7.955,8.2505,8.4862,8.6789,8.8402,8.9783,9.0989,9.2059,9.3022,9.3897,9.4698,9.5436,9.6119,9.6752,9.734,9.7888,9.8398,9.8873,9.9317,9.9731,10.0118,10.048,10.0818,10.1135,10.1431,10.171,10.1971,10.2217,10.2447
12/19/85,7.6209,7.9894,8.276,8.5041,8.6904,8.8463,8.9797,9.0964,9.2002,9.2937,9.3789,9.4571,9.5293,9.5962,9.6583,9.7162,9.7702,9.8205,9.8675,9.9114,9.9524,9.9908,10.0267,10.0602,10.0917,10.1212,10.1489,10.1749,10.1993,10.2223
12/20/85,7.6021,7.946,8.2234,8.4511,8.6414,8.8031,8.9425,9.0643,9.172,9.2681,9.3545,9.4327,9.5038,9.5688,9.6284,9.6832,9.7336,9.7802,9.8232,9.8631,9.9001,9.9345,9.9664,9.9962,10.024,10.0499,10.0742,10.0969,10.1182,10.1382
12/23/85,7.6181,7.9623,8.2376,8.4622,8.6493,8.8083,8.9457,9.0665,9.1739,9.2706,9.3583,9.4383,9.5118,9.5794,9.6419,9.6998,9.7534,9.8032,9.8495,9.8926,9.9327,9.9702,10.0051,10.0377,10.0682,10.0968,10.1236,10.1487,10.1723,10.1945
12/24/85,7.6158,7.9618,8.2378,8.4624,8.649,8.8072,8.9436,9.0632,9.1694,9.2648,9.3513,9.4301,9.5024,9.569,9.6305,9.6874,9.7402,9.7892,9.8347,9.8771,9.9166,9.9534,9.9878,10.0199,10.05,10.0781,10.1044,10.1292,10.1524,10.1742
12/26/85,7.6322,7.9513,8.2108,8.4261,8.6079,8.7641,8.9005,9.0211,9.129,9.2265,9.315,9.396,9.4703,9.5388,9.6021,9.6607,9.715,9.7654,9.8123,9.8559,9.8965,9.9344,9.9697,10.0027,10.0336,10.0625,10.0896,10.1151,10.139,10.1614
12/27/85,7.6125,7.9427,8.2019,8.411,8.5848,8.7332,8.8632,8.9794,9.0851,9.1823,9.2726,9.3568,9.4358,9.5099,9.5796,9.6451,9.7068,9.7647,9.8192,9.8704,9.9185,9.9637,10.0061,10.046,10.0835,10.1187,10.1518,10.183,10.2124,10.2401
12/30/85,7.6361,7.9515,8.2016,8.4056,8.577,8.7248,8.8552,8.9727,9.0799,9.1789,9.271,9.3571,9.4378,9.5136,9.5848,9.6517,9.7146,9.7737,9.8292,9.8813,9.9302,9.9762,10.0193,10.0598,10.0978,10.1336,10.1672,10.1989,10.2286,10.2567
12/31/85,7.6074,7.9363,8.1951,8.4044,8.5788,8.728,8.859,8.9762,9.0828,9.181,9.2721,9.3571,9.4367,9.5114,9.5816,9.6475,9.7095,9.7677,9.8223,9.8737,9.9219,9.9671,10.0096,10.0495,10.087,10.1222,10.1553,10.1865,10.2158,10.2435
1/2/86,7.624,7.9553,8.2166,8.4281,8.6041,8.7544,8.8857,9.0028,9.1087,9.2056,9.2951,9.3782,9.4557,9.528,9.5957,9.6591,9.7184,9.7741,9.8262,9.875,9.9207,9.9636,10.0038,10.0414,10.0768,10.11,10.1411,10.1704,10.198,10.224
1/3/86,7.6214,7.9657,8.2325,8.4454,8.6206,8.7692,8.8986,9.0138,9.1183,9.2142,9.3031,9.386,9.4635,9.5362,9.6045,9.6686,9.7288,9.7852,9.8383,9.888,9.9347,9.9784,10.0195,10.058,10.0941,10.1281,10.16,10.19,10.2182,10.2447
1/6/86,7.6333,7.974,8.2407,8.4551,8.6319,8.7818,8.9119,9.0271,9.1309,9.2257,9.313,9.394,9.4694,9.54,9.606,9.668,9.726,9.7805,9.8315,9.8795,9.9244,9.9666,10.0062,10.0433,10.0782,10.111,10.1418,10.1708,10.1981,10.2239
1/7/86,7.617,7.9314,8.1802,8.382,8.5498,8.6928,8.8175,8.9283,9.0284,9.1198,9.2042,9.2826,9.3556,9.424,9.4881,9.5482,9.6047,9.6577,9.7075,9.7542,9.7982,9.8395,9.8782,9.9147,9.949,9.9812,10.0115,10.0401,10.067,10.0924
1/8/86,7.6611,7.9863,8.2531,8.4753,8.6628,8.8233,8.9624,9.0842,9.192,9.2881,9.3745,9.4526,9.5236,9.5884,9.6477,9.7022,9.7523,9.7987,9.8415,9.8812,9.918,9.9523,9.9842,10.0139,10.0416,10.0676,10.0918,10.1146,10.136,10.156
1/9/86,7.8313,8.1833,8.4575,8.6753,8.8518,8.9981,9.122,9.2289,9.323,9.407,9.483,9.5523,9.6161,9.6752,9.7301,9.7812,9.829,9.8737,9.9155,9.9547,9.9915,10.026,10.0584,10.0888,10.1174,10.1443,10.1696,10.1934,10.2159,10.237
1/10/86,7.8255,8.2132,8.5095,8.7401,8.9237,9.0734,9.1984,9.3054,9.399,9.4824,9.5578,9.6269,9.6907,9.75,9.8054,9.8573,9.9061,9.9519,9.9949,10.0355,10.0736,10.1096,10.1434,10.1752,10.2052,10.2335,10.2601,10.2853,10.309,10.3314
1/13/86,7.903,8.3096,8.6204,8.8617,9.0526,9.2069,9.3342,9.4417,9.5344,9.6158,9.6885,9.7544,9.8146,9.8701,9.9216,9.9696,10.0145,10.0565,10.096,10.1331,10.1679,10.2007,10.2315,10.2606,10.2879,10.3137,10.338,10.3609,10.3825,10.403
1/14/86,7.9274,8.3152,8.6106,8.8395,9.0208,9.1677,9.2897,9.3934,9.4838,9.5639,9.6362,9.7023,9.7633,9.82,9.873,9.9227,9.9693,10.0133,10.0547,10.0937,10.1305,10.1651,10.1978,10.2286,10.2577,10.2851,10.3109,10.3353,10.3584,10.3802
1/15/86,7.9011,8.262,8.5363,8.7498,8.9207,9.0615,9.1809,9.2848,9.3772,9.4609,9.5377,9.6089,9.6753,9.7375,9.7959,9.8508,9.9025,9.9511,9.9969,10.04,10.0806,10.1187,10.1546,10.1884,10.2201,10.25,10.2781,10.3046,10.3296,10.3531
1/16/86,7.8616,8.2196,8.4994,8.7224,8.9037,9.0543,9.182,9.2922,9.3889,9.475,9.5526,9.623,9.6874,9.7467,9.8014,9.8522,9.8992,9.943,9.9838,10.0219,10.0574,10.0906,10.1216,10.1506,10.1778,10.2033,10.2272,10.2497,10.2708,10.2907
1/17/86,7.8208,8.1842,8.4607,8.6765,8.85,8.9937,9.1162,9.2234,9.3193,9.4066,9.487,9.5617,9.6315,9.6971,9.7587,9.8167,9.8713,9.9227,9.9711,10.0166,10.0595,10.0997,10.1376,10.1732,10.2067,10.2382,10.2679,10.2958,10.3221,10.3469
1/21/86,7.8101,8.1731,8.4487,8.6638,8.837,8.9809,9.1041,9.2124,9.3098,9.3987,9.481,9.5578,9.6297,9.6973,9.761,9.821,9.8776,9.9308,9.981,10.0282,10.0726,10.1144,10.1537,10.1906,10.2253,10.258,10.2887,10.3177,10.345,10.3707
1/22/86,7.7853,8.1577,8.4424,8.6666,8.8485,9.0008,9.1318,9.2473,9.351,9.4454,9.5322,9.6127,9.6875,9.7573,9.8225,9.8834,9.9404,9.9937,10.0435,10.0901,10.1337,10.1744,10.2126,10.2483,10.2817,10.313,10.3424,10.3699,10.3959,10.4202
1/23/86,7.7576,8.1437,8.4344,8.6601,8.841,8.9911,9.1193,9.2319,9.3329,9.4248,9.5094,9.5879,9.661,9.7293,9.7931,9.8529,9.9088,9.9612,10.0102,10.056,10.0988,10.1389,10.1764,10.2115,10.2444,10.2752,10.3041,10.3312,10.3567,10.3806
1/24/86,7.7233,8.1134,8.4074,8.6361,8.8202,8.9737,9.1057,9.2222,9.3272,9.4232,9.5118,9.5942,9.6711,9.743,9.8103,9.8734,9.9324,9.9876,10.0392,10.0875,10.1327,10.1749,10.2145,10.2514,10.2861,10.3185,10.3489,10.3774,10.4042,10.4294
1/27/86,7.6675,8.0509,8.3385,8.5626,8.7439,8.896,9.0277,9.1445,9.2499,9.3463,9.435,9.5171,9.5932,9.6639,9.7296,9.7906,9.8473,9.8999,9.9488,9.9942,10.0364,10.0757,10.1122,10.1461,10.1778,10.2074,10.235,10.2609,10.2851,10.3078
1/28/86,7.6363,7.9898,8.2608,8.4766,8.6547,8.8066,8.9397,9.0586,9.1663,9.2648,9.3555,9.4393,9.5167,9.5885,9.6549,9.7164,9.7734,9.8263,9.8752,9.9206,9.9626,10.0017,10.038,10.0717,10.1031,10.1324,10.1598,10.1853,10.2093,10.2317
1/29/86,7.6282,7.9906,8.2703,8.4935,8.6773,8.833,8.968,9.0873,9.194,9.2906,9.3784,9.4586,9.5322,9.5998,9.6619,9.7191,9.7717,9.8203,9.8651,9.9065,9.9448,9.9802,10.013,10.0435,10.0718,10.0982,10.1228,10.1458,10.1673,10.1874
1/30/86,7.6429,7.9861,8.2622,8.4893,8.68,8.8429,8.9842,9.108,9.2177,9.3154,9.403,9.482,9.5533,9.6179,9.6767,9.7302,9.779,9.8237,9.8646,9.9022,9.9367,9.9686,9.998,10.0252,10.0505,10.0739,10.0957,10.1161,10.1351,10.1528
1/31/86,7.5967,7.942,8.2217,8.4533,8.6486,8.8159,8.9613,9.089,9.202,9.3027,9.393,9.4742,9.5475,9.6138,9.6741,9.7289,9.7789,9.8246,9.8664,9.9047,9.94,9.9725,10.0025,10.0302,10.056,10.0798,10.102,10.1228,10.1421,10.1602
2/3/86,7.5929,7.9202,8.1881,8.4119,8.6025,8.7671,8.9112,9.0385,9.1518,9.2532,9.3443,9.4265,9.5009,9.5684,9.6297,9.6855,9.7365,9.7831,9.8257,9.8649,9.9009,9.9341,9.9647,9.9931,10.0193,10.0437,10.0664,10.0876,10.1073,10.1258
2/4/86,7.5612,7.8804,8.1408,8.3582,8.5437,8.7044,8.8456,8.9709,9.0829,9.1836,9.2744,9.3567,9.4314,9.4994,9.5613,9.6178,9.6694,9.7167,9.7601,9.8,9.8367,9.8705,9.9017,9.9307,9.9575,9.9824,10.0056,10.0272,10.0474,10.0663
2/5/86,7.5807,7.897,8.1646,8.3928,8.5889,8.7583,8.9055,9.0341,9.1469,9.2463,9.3342,9.4123,9.4818,9.5441,9.5999,9.6501,9.6955,9.7366,9.774,9.808,9.8392,9.8677,9.894,9.9181,9.9405,9.9612,9.9804,9.9983,10.015,10.0306
